Clause,Section Title,Category,Classification,Explanation
"Im Falle der Erkrankung ist verpflichtet, vor Ablauf des 4. Kalendertages nach Beginn der Arbeitsunfähigkeit eine ärztliche Bescheinigung über die Arbeitsunfähigkeit sowie deren voraussichtliche Dauer vorzulegen. Dauert die Arbeitsunfähigkeit länger als in der Bescheinigung angegeben, so ist verpflichtet, unverzüglich eine neue ärztliche Bescheinigung vorzulegen.",§ 5.2 DIENSTVERHINDERUNG,Krankheit,0,
- erhält kalenderjährlich einen Erholungsurlaub von 30 Arbeitstagen. Der Urlaub wird in Abstimmung mit dem Vorgesetzten festgelegt.,§ 6.1 URLAUB,Urlaub,0,
Im Übrigen gelten die gesetzlichen Bestimmungen.,§ 6.2 URLAUB,Urlaub,0,
"Für die Erstattung der Kosten anlässlich von Dienstreisen gelten die allgemeinen ""Richtlinien über Reisekostenvergütung"" der Firma sowie die Sätze der Lohnsteuerrichtlinien.",§ 7.1 REISEKOSTEN,Sonstiges,0,
"Die Firma schließt zu Gunsten von - eine Unfallversicherung mit folgenden Deckungssummen ab: für den Todesfall EUR 25.564,-; für den Invaliditätsfall EUR 51.130,-. Der Versicherungsschutz erstreckt sich auf alle Unfälle des täglichen Lebens und gilt 7 Tage/ 24 Stunden. Die Versicherung erlischt mit dem Tag des Ausscheidens von aus der Firma.",§ 8.1 UNFALLVERSICHERUNG ,Vergütung,0,
"~ hat über die ihr zur Kenntnis gelangenden Angelegenheiten des Arbeitgebers sowohl gegenüber Außenstehenden als auch anderen Mitarbeitern, die mit dem betreffenden Sachgebiet nicht unmittelbar befasst sind (Dritte), Stillschweigen zu bewahren, soweit es sich um Betriebs- und Geschäftsgeheimnisse handelt. Dies gilt auch für solche Tatsachen, die der Arbeitgeber als vertraulich bezeichnet oder bei denen aus den Umständen ersichtlich ist, dass sie gegenüber Dritten nicht offenbart werden dürfen. ","§ 9.1 GEHEIMHALTUNG, DATENGEHEIMNIS",Vertragsstrafe/Wettbewerbsverbot,0,
"Die Verschwiegenheitspflicht erstreckt sich auch auf die in Ziffer 1 bezeichneten Angelegenheiten anderer Unternehmen, mit denen der Arbeitgeber rechtlich, organisatorisch oder wirtschaftlich verbunden ist. Das gilt auch für Angelegenheiten anderer Unternehmen, mit denen der Arbeitgeber in geschäftlichem Kontakt steht.","§ 9.2 GEHEIMHALTUNG, DATENGEHEIMNIS",Vertragsstrafe/Wettbewerbsverbot,0,
Die Verschwiegenheitspflicht der Beschäftigten über die in Ziffer 1 bis 2 bezeichneten Umstände besteht - unbeschadet weitergehender gesetzlicher Vorschriften- auch nach Beendigung des Arbeitsverhältnisses fort. Die Beschäftigte darf die geheim zuhaltenden Tatsachen nicht durch Weitergabe an Dritte verwerten.,"§ 9.3 GEHEIMHALTUNG, DATENGEHEIMNIS",Vertragsstrafe/Wettbewerbsverbot,0,
"Die Beschäftigte ist verpflichtet, alle ihre dienstliche Tätigkeit betreffenden Schriftstücke, Informationsträger, technischen Geräte, Datenträger und sonstige Unterlagen, auch soweit es sich um persönliche Aufzeichnungen, die Geschäftsvorgänge betreffen, handelt, als ihr anvertrautes Eigentum des Arbeitgebers sorgfältig zu behandeln und aufzubewahren und sie dem Arbeitgeber auf dessen Verlangen jederzeit, spätestens aber bei Beendigung des Arbeitsverhältnisses zurückzugeben. Das gilt auch für Abschriften, Vervielfältigungen, gespeicherte Daten und Gegenstände. Auf Verlangen des Arbeitgebers ist die Beschäftigte verpflichtet, zu versichern, dass sie solche Unterlagen, sei es im Original oder in Kopie, nicht mehr besitzt unp. auch nicht an Dritte weitergegeben hat. Die Beschäftigte ist verpflichtet, auf Verlangen unverzüglich, spätestens aber bei Beendigung des Arbeitsverhältnisses, sämtliche die Angelegenheiten des Betriebes betreffenden Daten und Informationen, die auf privaten elektronischen Datenträgern gespeichert sind, zu-löschen.","§ 9.4 GEHEIMHALTUNG, DATENGEHEIMNIS",Vertragsstrafe/Wettbewerbsverbot,0,
~ verpflichtet sich die bei - bestehenden EDV-Sicherheitsrichtlinien zur Kenntnis zu nehmen und einzuhalten.,"§ 9.5 GEHEIMHALTUNG, DATENGEHEIMNIS",Sonstiges,0,
Das Vertragsverhältnis kann arbeitnehmerseitig mit einer Frist von 6 Wochen zum Quartalsende gekündigt werden.,"§ 10.1 VERTRAGSDAUER,KÜNDBARKEIT",Kündigung/Beendigung,0.5,"einseitige Verlängerung der Kündigungsfrist benachteiligend, abweichung von den gesetzlichen Fristen"
"Die Kündigung muss schriftlich erfolgen um wirksam zu sein. Mit oder nach der Kündigung ist die Firma berechtigt, --auf beliebige Zeit zu beurlauben oder ihr eine beschränktere Tätigkeit zuzuweisen und ihr dabei insbesondere aufzuerlegen, ihren etwaigen Nachfolger nach bestem Wissen und rückhaltlos in ihre Arbeiten einzuführen. Der Anspruch auf Arbeitseinkommen bleibt hiervon unberührt.","§ 10.2 VERTRAGSDAUER,KÜNDBARKEIT",Form,0,
"Das Arbeitsverhältnis endet ohne Kündigung mit Ablauf des Monats, in dem die Beschäftigte die Regelaltersgrenze gem. §35 SGB VI vollendet hat oder in dem Zeitpunkt, ab dem die Beschäftigte eine Altersrente, gleich aus welchem Rechtsgrund, bezieht. Das Arbeitsverhältnis endet ebenfalls ohne Kündigung mit Ablauf des Monats, in dem der Beschäftigten der Bescheid eines Rentenversicherungsträgers über eine unbefristete Rente wegen vollständiger Erwerbsminderung zugeht und eine Weiterbeschäftigung der Beschäftigten, ggf. auf einem anderen geeigneten freien Arbeitsplatz und/oder mit verringerter Arbeitszeit nicht möglich ist.","§ 10.3 VERTRAGSDAUER,KÜNDBARKEIT",Kündigung/Beendigung,0,
"Soweit in diesem Arbeitsvertrag nichts Abweichendes vereinbart ist (insbesondere im Hinblick auf Vergütung und Arbeitszeit), finden ergänzend die Vorschriften des Manteltarifvertrages der Metall- und Elektroindustrie Bayern in ihrer jeweils gültigen Fassung Anwendung.",§ 11.1 SONSTIGE ERLÄUTERUNGEN,Sonstiges,0,
"~ bestätigt, dass sie diesen Vertrag gelesen und die einzelnen Bestimmungen sorgfältig geprüft und gebilligt hat.",§ 12.2 ALLGEMEINE BESTIMMUNGEN,Sonstiges,0,
"wird als „Packaging/Distribution Manager"" als außertariflicher Mitarbeiter eingestellt. Die Zuständigkeit von in der Firma regelt sich nach dem Organisationsplan in seiner jeweils geltenden Fassung. In seiner Funktion berichtet an den General Manager. Der Dienstsitz ist","§ 1.1 AUFGABENGEBIET, EINTRITT",Durchführung,0,
"Die Firma behält sich vor, auch eine andere zumutbare Arbeit zuzuweisen, die seinen Vorkenntnissen entspricht, wenn dies aus betrieblichen Gründen erforderlich ist.","§ 1.2 AUFGABENGEBIET, EINTRITT",Leistungen,0,
Der Eintritt von erfolgt zum 01.Februar 2008 oder früher.,"§ 1.3 AUFGABENGEBIET, EINTRITT",Durchführung,0,
verpflichtet sich: Seine ganze Arbeitskraft in den Dienst der Firma zu stellen und ohne Zustimmung der Firma keine berufliche Nebenbeschäftigung zu übernehmen oder im Interesse anderer Unternehmungen irgendwie tätig zu sein; die Interessen der Firma in jeder Beziehung nach Kräften zu wahren sowie die Anordnungen des Geschäftsführers und seiner Stellvertreter zu befolgen.,§ 2.1 DIENSTPFLICHTEN,Leistungen,0,
Die Ergebnisse seiner dienstlichen Arbeiten und eine bei der Erfüllung seiner dienstlichen Obliegenheiten gemachten oder im Rahmen der wirtschaftlichen Betätigung der Firma fallenden Beobachtungen und Erfahrungen seinen Vorgesetzten unaufgefordert bekanntzugeben.,§ 2.2 DIENSTPFLICHTEN,Leistungen,0,
"Während der Dauer des Vertrages über alles, was nach handelsüblicher Auffassung unter Geschäfts- und Betriebsgeheimnissen verstanden wird, Dritten gegenüber Stillschweigen zu bewahren, soweit diese nicht durch ihre dienstliche Tätigkeit zur Entgegennahme solcher Mitteilungen berufen sind und sich schriftlicher Aufzeichnungen über Geschäftsangelegenheiten der Firma jeder Art - für sich oder Dritte - zu enthalten.",§ 2.3 DIENSTPFLICHTEN,Vertragsstrafe/Wettbewerbsverbot,0,
"Die seine dienstliche Tätigkeit oder sonstige Geschäftsangelegenheiten der Firma betreffenden Bücher, Instruktionen, Listen, Abschriften, Aufzeichnungen usw. als ihr anvertrautes Eigentum der Firma zu betrachten und jederzeit auf Verlangen der Firma sofort, jedoch spätestens bei Beendigung des Dienstverhältnisses unaufgefordert und unter Verzicht auf jede Einrede herauszugeben.",§ 2.4 DIENSTPFLICHTEN,Sonstiges,0,
"erhält als Gegenleistung für die gewissenhafte Erfüllung der von ihm durch diesen Vertrag übernommenen Verpflichtungen ein außertariflich, frei vereinbartes Jahresbruttogehalt von EUR 73.000,- zahlbar in 12 gleichen Teilen, jeweils am Ende eines jeden Kalendermonats unbar auf ein von zu benennendes Konto. Nach Ablauf der Probezeit erhält ein Jahresbruttogehalt von EUR 75.000,-.",§ 3.1 BEZÜGE,Vergütung,0,
Das Gehalt wird unter Berücksichtigung der Aufgaben und Leistungen von jährlich überprüft. Über die Höhe des Einkommens oder sonstiger Bezüge ist - insbesonders auch den Mitarbeitern gegenüber - strengste Verschwiegenheit zu bewahren.,§ 3.3 DIENSTPFLICHTEN,Vertragsstrafe/Wettbewerbsverbot,1,Verpflichtung zur Verschwiegenheit über Gehalt unwirksam
Die Arbeitszeit beträgt 40 Stunden wöchentlich; eventuell anfallende Überstunden sind ebenfalls mit dem Bruttojahresgehalt abgegolten.,§ 4.1 ARBEITSZEIT,Leistungen,1,pauschale Abgeltung von Überstunden ohne Höchstgrenze ist unzulässig
"ist verpflichtet, der Firma jede Dienstverhinderung und ihre voraussichtliche Dauer unverzüglich anzuzeigen. Auf Verlangen sind die Gründe der Dienstverhinderung mitzuteilen.",§ 5.1 DIENSTVERHINDERUNG,Krankheit,0.5,Genauer Grund für Abwesenheit (Diagnose/Erkrankung) muss dem AG nicht mitgeteilt werden
"Im Falle der Erkrankung ist verpflichtet, vor Ablauf des 3. Kalendertages nach Beginn der Arbeitsunfähigkeit eine ärztliche Bescheinigung über die Arbeitsunfähigkeit sowie deren voraussichtliche Dauer vorzulegen. Dauert die Arbeitsunfähigkeit länger als in der Bescheinigung angegeben, so ist verpflichtet, innerhalb von 3 Tagen eine neue ärztliche Bescheinigung vorzulegen.",§ 5.2 DIENSTVERHINDERUNG,Krankheit,0,
Die Firma zahlt im Krankheitsfälle das Gehalt 3 Monate bis zu 100% des vorherigen Nettoverdienstes fort. Nach Ablauf der ersten 6 Wochen zahlt die Firma die Differenz zwischen dem Krankengeld einer gesetzlichen Krankenkasse und dem bisherigen Nettoverdienst.,§ 6.1 GEHALTSFORTZAHLUNG IM KRANKHEITSFALL,Krankheit,0,
erhält kalenderjährlich einen Erholungsurlaub von 30 Arbeitstagen. Der Urlaub wird in Abstimmung mit dem Vorgesetzten festgelegt.,§ 7.1 URLAUB,Urlaub,0,
Im Übrigen gelten die gesetzlichen Bestimmungen.,§ 7.2 URLAUB,Urlaub,0,
"Die Firma schließt zu Gunsten von eine Unfallversicherung mit folgenden Deckungssummen ab: für den Todesfall EUR 102.258,-; für den Invaliditätsfall EUR 204.516,-. Die Versicherung erlischt mit dem Tag des Ausscheidens von aus der Firma.",§ 8.1 UNFALLVERSICHERUNG,Vergütung,0,
"Für die Erstattung der Kosten anläßlich von Dienstreisen gelten die allgemeinen ""Richtlinien über Reisekostenvergütung"" der Firma sowie die Sätze der Lohnsteuerrichtlinien.",§ 9.1 REISEKOSTEN,Sonstiges,0,
"Da Sie in dieser Funktion im Jahr mehr als 16.000 km dienstlich für das Unternehmen fahren werden stellen wir Ihnen einen Firmenwagen zur Verfügung. Der Firmenwagen wird Ihnen gemäß der beiliegenden Company Car Policy zur Verfügung gestellt. Sie haben keinen Rechtsanspruch auf die Zurverfügungstellung. Der Firmenwagen ist ohne irgendeinen Ausgleichsanspruch zurückzugeben, wenn der Grund für die Zurverfügungstellung entfällt. Der Grund entfällt, wenn weniger als 16.000 km im Jahr dienstlich für das Unternehmen gefahren werden. Beim ersten Wagen, den wir Ihnen zur Verfügung stellen, kann es sich um ein Fahrzeug handeln, das aus unserem Filmenwagenpool stammt. In einem solchen Fall ist das Fahrzeug solange zu fahren, wie der Leasingvertrag läuft.",§ 10.1 FIRMENWAGEN,Vergütung,0,
"wird aufgrund seiner Aufgabenstellung auf die Wahrung des Datengeheimnisses nach § 5 BDSG verpflichtet. Danach ist es untersagt, geschützte personenbezogene Daten unbefugt zu einem anderen als den zur jeweiligen Aufgabenerfüllung gehörenden Zweck zu verarbeiten, bekanntzugeben, zugänglich zu machen oder sonst zu nutzen. Die entsprechenden Pflichten bestehen auch nach Beendigung der Tätigkeit fort. wird darüber belehrt, daß Verstöße gegen das Datengeheimnis nach § 41 BDSG und anderen einschlägigen Rechtsvorschriften mit Freiheits- und Geldstrafe geahndet werden können; eine disziplinarische Verfolgung wird dadurch nicht ausgeschlossen. Eine Verletzung des Datengeheimnisses wird in den meisten Fällen gleichzeitig einen Verstoß gegen die arbeitsrechtliche Schweigepflicht darstellen, auch kann in ihr zugleich eine Verletzung spezieller Geheimhaltungspflichten liegen.","§ 11. l GEHEIMHALTUNG, DATENGEHEIMNIS",Vertragsstrafe/Wettbewerbsverbot,0,
verpflichtet sich die bei bestehenden EDV-Sicherheitsrichtlinien zur Kenntnis zu nehmen und einzuhalten.,"§ 11.2 GEHEIMHALTUNG, DATENGEHEIMNIS",Sonstiges,0,
Die Firma vereinbart mit eine Probezeit von 6 Monaten mit einer Kündigungsfrist von einem Monat zum Monatsende.,"§ 12.1 VERTRAGSDAUER, KÜNDBARKEIT",Kündigung/Beendigung,0,mehr als gesetzliche Regelung möglich
Nach Ablauf der Probezeit kann das Vertragsverhältnis kann beiderseits mit einer Frist von 3 Monaten zum Quartalsende gekündigt werden.,"§ 12.2 VERTRAGSDAUER, KÜNDBARKEIT",Kündigung/Beendigung,0,mehr als gesetzliche Regelung möglich
"Die Kündigung muß schriftlich erfolgen um wirksam zu sein. Mit oder nach der Kündigung ist die Finna berechtigt, auf beliebige Zeit zu beurlauben oder ihm eine beschränktere Tätigkeit zuzuweisen und ihm dabei insbesonders aufzuerlegen, seinen etwaigen Nachfolger nach bestem Wissen und rückhaltlos in seine Arbeiten einzuführen. Der Anspruch auf Arbeitseinkommen bleibt hiervon unberührt.","§ 12.3 VERTRAGSDAUER, KÜNDBARKEIT",Kündigung/Beendigung,0,
Änderungen und Ergänzungen dieses Vertrages bedürfen der schriftlichen Form; etwaige mündliche Abreden über das Vertragsverhältnis werden ohne schriftliche Bestätigung nicht wirksam.,§ 12.1 ALLGEMEINE BESTIMMUNGEN,Form,0,
"bestätigt, dass er diesen Vertrag gelesen und die einzelnen Bestimmungen sorgfältig geprüft und gebilligt hat.",§ 12.2 ALLGEMEINE BESTIMMUNGEN,Sonstiges,0,
wird als Customer Inspection Representative beschäftigt. Die Zuständigkeit von in der Firma regelt sich nach dem Organisationsplan in seiner jeweils geltenden Fassung. In seiner Funktion ist derzeit dem Manager Quality unterstellt. Der Dienstsitz ist Weßling.,"§ 1.1 AUFGABENGEBIET, EINTRITT",Durchführung,0,
"Die Firma behält sich vor, auch eine andere zumutbare Arbeit zuzuweisen, die seinen Vorkenntnissen entspricht, wenn dies aus betrieblichen Gründen erforderlich ist.","§ 1.2 AUFGABENGEBIET, EINTRITT",Leistungen,0,
Der Eintritt von erfolgt zum 01.09.2016. Bei der Berechnung der Betriebszugehörigkeit wird der zu Grunde gelegt.,"§ 1.3 AUFGABENGEBIET, EINTRITT",Durchführung,0,
verpflichtet sich: Seine ganze Arbeitskraft in den Dienst der Firma zu stellen und ohne Zustimmung der Firma keine berufliche Nebenbeschäftigung zu übernehmen oder im Interesse anderer Unternehmungen irgendwie tätig zu sein; die Interessen der Firma in jeder Beziehung nach Kräften zu wahren sowie die Anordnungen des Geschäftsführers und seiner Stellvertreter zu befolgen.,§ 2.1 DIENSTPFLICHTEN,Leistungen,0,
verpflichtet sich: Die Ergebnisse seiner dienstlichen Arbeiten und eine bei der Erfüllung seiner dienstlichen Obliegenheiten gemachten oder im Rahmen der wirtschaftlichen Betätigung der Firma fallenden Beobachtungen und Erfahrungen seinem Vorgesetzten unaufgefordert bekanntzugeben.,§ 2.2 DIENSTPFLICHTEN,Leistungen,0,
"verpflichtet sich: Während der Dauer des Vertrages und über dessen Beendigung hinaus über alles, was nach handelsüblicher Auffassung unter Geschäfts- und Betriebsgeheimnissen verstanden wird, Dritten gegenüber Stillschweigen zu bewahren, soweit diese nicht durch ihre dienstliche Tätigkeit zur Entgegennahme solcher Mitteilungen berufen sind und sich schriftlicher Aufzeichnungen über Geschäftsangelegenheiten der Firma jeder Art - für sich oder Dritte - zu enthalten.",§ 2.3 DIENSTPFLICHTEN,Vertragsstrafe/Wettbewerbsverbot,0,
"verpflichtet sich: Die seine dienstliche Tätigkeit oder sonstige Geschäftsangelegenheiten der Firma betreffenden Bücher, Instruktionen, Listen, Abschriften, Aufzeichnungen usw. als sein anvertrautes Eigentum der Firma zu betrachten und jederzeit auf Verlangen der Firma sofort, jedoch spätestens bei Beendigung des Dienstverhältnisses unaufgefordert und unter Verzicht auf jede Einrede herauszugeben.",§ 2.4 DIENSTPFLICHTEN,Sonstiges,0,
"erhält als Gegenleistung für die gewissenhafte Erfüllung der von ihm durch diesen Vertrag übernommenen Verpflichtungen ein monatliches Bruttogehalt, das am Ende eines jeden Kalendermonats unbar auf ein von zu benennendes Konto zahlbar ist. Das Gehalt setzt sich wie folgt zusammen: Grundgehalt 3.368,00 €; Freiwillige Zulage 566,00 €; Gesamt: 3.934,00 €. Eine freiwillige, außertarifliche Zulage kann bei Vorliegen eines sachlichen Grundes (z.B. wirtschaftliche Gründe, Gründe im Verhalten oder der Person des Arbeitnehmers oder einer Neuordnung des Vergütungssystems) jederzeit widerrufen werden.",§ 3.1 BEZÜGE,Vergütung,0,
Darüber hinaus erhält ein anteiliges Urlaubs- und Weihnachtsgeld.,§ 3.2 BEZÜGE,Vergütung,0,
Über die Höhe des Einkommens oder sonstiger Bezüge ist - insbesondere auch den Mitarbeitern gegenüber - strengste Verschwiegenheit zu bewahren.,§ 3 .3 BEZÜGE,Vertragsstrafe/Wettbewerbsverbot,1,Verpflichtung zur Verschwiegenheit über Gehalt unwirksam
Die Arbeitszeit beträgt 40 Stunden wöchentlich. Beginn und Ende der täglichen Arbeitszeit und der Pausen richten sich nach der betrieblichen Übung.,§ 4.1 ARBEITSZEIT,Leistungen,0,
"ist verpflichtet, der Firma jede Dienstverhinderung und ihre voraussichtliche Dauer unverzüglich anzuzeigen. Auf Verlangen sind die Gründe der Dienstverhinderung mitzuteilen. ",§ 5.1 DIENSTVERHINDERUNG,Krankheit,0.5,Genauer Grund für Abwesenheit (Diagnose/Erkrankung) muss dem AG nicht mitgeteilt werden
"Im Falle der Erkrankung ist verpflichtet, vor Ablauf des 4. Kalendertages nach Beginn der Arbeitsunfähigkeit eine ärztliche Bescheinigung über die Arbeitsunfähigkeit sowie deren voraussichtliche Dauer vorzulegen. Dauert die Arbeitsunfähigkeit länger als in der Bescheinigung angegeben, so ist verpflichtet, unverzüglich eine neue ärztliche Bescheinigung vorzulegen.",§ 5.2 DIENSTVERHINDERUNG,Krankheit,0,
erhält kalenderjährlich einen Erholungsurlaub von 30 Arbeitstagen. Der Urlaub wird in Abstimmung mit dem Vorgesetzten festgelegt.,§ 6.1 URLAUB,Urlaub,0,
Im Übrigen gelten die gesetzlichen Bestimmungen.,§ 6.2 URLAUB,Urlaub,0,
"Für die Erstattung der Kosten anlässlich von Dienstreisen gelten die allgemeinen ""Richtlinien über Reisekostenvergütung"" der Firma sowie die Sätze der Lohnsteuerrichtlinien.",§ 7.1 REISEKOSTEN,Sonstiges,0,
"Die Firma schließt zu Gunsten von eine Unfallversicherung mit folgenden Deckungssummen ab: für den Todesfall EUR 25.564,-; für den Invaliditätsfall EUR 51.130,- Der Versicherungsschutz erstreckt sich auf alle Unfälle des täglichen Lebens und gilt 7 Tage / 24 Stunden. Die Versicherung erlischt mit dem Tag des Ausscheidens von aus der Firma.",§ 8.1 UNFALLVERSICHERUNG,Vergütung,0,
"wird aufgrund seiner Aufgabenstellung auf die Wahrung des Datengeheimnisses nach § 5 BDSG verpflichtet. Danach ist es untersagt, geschützte personenbezogene Daten unbefugt zu einem anderen als den zur jeweiligen Aufgabenerfüllung gehörenden Zweck zu verarbeiten, bekanntzugeben, zugänglich zu machen oder sonst zu nutzen. Die entsprechenden Pflichten bestehen auch nach Beendigung der Tätigkeit fort. wird darüber belehrt, dass Verstöße gegen das Datengeheimnis nach § 41 BDSG und anderen einschlägigen Rechtsvorschriften mit Freiheits- und Geldstrafe geahndet werden können; eine disziplinarische Verfolgung wird dadurch nicht ausgeschlossen. Eine Verletzung des Datengeheimnisses wird in den meisten Fällen gleichzeitig einen Verstoß gegen die arbeitsrechtliche Schweigepflicht darstellen, auch kann in ihr zugleich eine Verletzung spezieller Geheimhaltungspflichten liegen.","§ 9.1 GEHEIMHALTUNG, DATENGEHEIMNIS ",Vertragsstrafe/Wettbewerbsverbot,0,
verpflichtet sich die bei bestehenden EDV-Sicherheitsrichtlinien zur Kenntnis zu nehmen und einzuhalten.,"§ 9.2 GEHEIMHALTUNG, DATENGEHEIMNIS ",Sonstiges,0,
Das Arbeitsverhältnis ist unbefristet.,"§ 10.1 VERTRAGSDAUER, KÜNDBARKEIT",Durchführung,0,
Eine Probezeit entfällt. Das Vertragsverhältnis kann beiderseits mit einer Frist von 6 Wochen zum Quartalsende gekündigt werden.,"§ 10.2 VERTRAGSDAUER, KÜNDBARKEIT",Kündigung/Beendigung,0,mehr als gesetzliche Regelung möglich
"Die Kündigung muss schriftlich erfolgen um wirksam zu sein. Mit oder nach der Kündigung ist die Firma berechtigt, auf beliebige Zeit zu beurlauben oder ihm eine beschränktere Tätigkeit zuzuweisen und ihm dabei insbesondere aufzuerlegen, seinen etwaigen Nachfolger nach bestem Wissen und rückhaltlos in seine Arbeiten einzuführen. Der Anspruch auf Arbeitseinkommen bleibt hiervon unberührt.","§ 10.3 VERTRAGSDAUER, KÜNDBARKEIT",Kündigung/Beendigung,0,
"Das Arbeitsverhältnis endet ohne Kündigung mit Ablauf des Monats, in dem der Beschäftigte die Regelaltersgrenze gern. §35 SGB VI vollendet hat oder in dem Zeitpunkt, ab dem der Beschäftigte eine Altersrente, gleich aus welchem Rechtsgrund, bezieht. Das Arbeitsverhältnis endet ebenfalls ohne Kündigung mit Ablauf des Monats, in dem dem Beschäftigten der Bescheid eines Rentenversicherungsträgers über eine unbefristete Rente wegen vollständiger Erwerbsminderung zugeht und eine Weiterbeschäftigung des Beschäftigten, ggf. auf einem anderen geeigneten freien Arbeitsplatz und/oder mit verringerter Arbeitszeit nicht möglich ist.","§ 10.4 VERTRAGSDAUER, KÜNDBARKEIT",Kündigung/Beendigung,0,
Änderungen und Ergänzungen dieses Vertrages bedürfen der schriftlichen Form; etwaige mündliche Abreden über das Vertragsverhältnis werden ohne schriftliche Bestätigung nicht wirksam.,§ 11.1 ALLGEMEINE BESTIMMUNGEN,Form,0,"Hier ok, bei späterem Abschluss nur noch Textform"
"bestätigt, dass er diesen Vertrag gelesen und die einzelnen Bestimmungen sorgfältig geprüft und gebilligt hat.",§ 11.2 ALLGEMEINE BESTIMMUNGEN,Sonstiges,0,
"Der/Die Beschäftigte wird in unsere Abteilung bei der Arbeitsaufgabe „Projektleiter/-in Produktentwicklung"" eingestellt. Der/Die Beschäftigte verpflichtet sich, sein/ihr ganzes Wissen und Können sowie die volle Arbeitskraft der zur Verfügung zu stellen und die Interessen der WMF in jeder Weise zu fördern. Die ist berechtigt, dem/der Beschäftigten bei unveränderten Bezügen auch eine andere, seinen/ihren Fähigkeiten und Kenntnissen entsprechende Aufgabe zu übertragen.",1. Art der Tätigkeit,Durchführung,0,
Das Arbeitsverhältnis beginnt am 1. November 2018. Die ersten drei Monate des Arbeitsverhältnisses gelten als Probezeit.,"2. Beginn des Arbeitsverhältnisses, Probezeit",Durchführung,0,
"Der/Die Beschäftigte ist vollzeitbeschäftigt. Die individuelle regelmäßige wöchentliche Arbeitszeit des/der Beschäftigten beträgt zurzeit 40,0 Stunden. Die Lage und Verteilung der individuellen regelmäßigen wöchentlichen Arbeitszeit auf die Arbeitstage richtet sich nach den gesetzlichen, tariflichen und betrieblichen Bestimmungen. Für Mehr-, Spät-, Nacht-, Sonn- und Feiertagsarbeit sind die gesetzlichen, tariflichen und betrieblichen Bestimmungen maßgebend.",3. Arbeitszeit,Leistungen,0,
"Der/Die Beschäftigte erhält für seine/ihre Tätigkeit Bruttomonatsentgelt nach ERA-TV in Höhe von 7.648,08 EUR bei einer wöchentlichen Arbeitszeit von 40,0 Stunden. Das Bruttomonatsentgelt setzt sich wie folgt zusammen: a. Grundentgelt nach EG 16 6.536,82 b. Leistungsentgelt c. Betriebliche Zulage anrechenbar 1.111,26 Eine Überprüfung des Leistungsentgelts erfolgt nach 6 Monaten. Die betriebliche anrechenbare Zulage wird mit der Leistungszulage verrechnet. Sie erhalten ab dem Eintrittsjahr den tariflichen Höchstsatz der Sonderzahlung (Weihnachtsgeld).",4. Entgelt,Vergütung,0,
Die Monatsbezüge werden jeweils zum Monatsende überwiesen. Beim Eintritt sind Bankverbindung und Kontonummer anzugeben.,5. Entgeltzahlung,Durchführung,0,
Es gilt die zum Beginn des Arbeitsverhältnisses gültige betriebliche Regelung.,6. Betriebliche Altersversorgung,Sonstiges,0,
"Der Urlaub richtet sich nach den geltenden gesetzlichen, tariflichen und betrieblichen Bestimmungen. Der Urlaubsantritt, auch für einzelne Tage, bedarf der Genehmigung durch den Vorgesetzten. Die Dauer des Urlaubs beträgt zurzeit - ohne eventuell zustehenden Zusatzurlaub - 30 Arbeitstage pro Kalenderjahr.",7. Urlaub,Urlaub,0,
"Von Arbeitsverhinderungen und deren voraussichtlicher Dauer, insbesondere Erkrankungen, ist der Vorgesetzte unverzüglich zu unterrichten. Gleiches gilt wenn sich die Arbeitsverhinderung verlängert. ",8. Arbeitsverhinderung,Krankheit,0,
"Der/Die Beschäftigte verpflichtet sich, über alle im Rahmen seiner/ihrer Tätigkeit zur Kenntnis gelangten geschäftlichen Angelegenheiten und Vorgänge, insbesondere Geschäfts.- und Betriebsgeheimnisse, Stillschweigen zu bewahren. Dies gilt auch für solche Tatsachen, die der Arbeitgeber als vertraulich bezeichnet oder bei denen aus den Umständen ersichtlich ist, dass sie gegenüber Dritten nicht offenbart werden dürfen. Die Verschwiegenheitspflicht erstreckt sich auch auf Unternehmen, mit denen der Arbeitgeber rechtlich, organisatorisch oder wirtschaftlich verbunden ist sowie mit nicht verbundenen Unternehmen, zu denen geschäftliche Beziehungen bestehen. Die Verschwiegenheitspflicht des/der Beschäftigten besteht - unbeschadet weitergehender gesetzlicher Vorschriften - auch nach Beendigung des Arbeitsverhältnisses fort; der/die Beschäftigte darf die geheim zu haltenden Tatsachen nicht durch Weitergabe an Dritte verwerten. Der/die Beschäftigte ist verpflichtet alle seine/ihre dienstliche Tätigkeit betreffenden Schriftstücke, technischen Geräte, Datenträger und sonstige Unterlagen, auch soweit es sich um persönliche Aufzeichnungen, die Geschäftsvorgänge betreffen, handelt, als ihm/ihr anvertrautes Eigentum des Arbeitsgebers sorgfältig zu behandeln und aufzubewahren und sie dem Arbeitgeber auf dessen Verlangen jederzeit, spätestens aber bei Beendigung des Arbeitsverhältnisses zurückzugeben. Das gilt auch für Abschriften, Vervielfältigungen, gespeicherte Daten und Gegenstände. Auf Verlangen des Arbeitgebers ist der/die Beschäftigte verpflichtet, zu versichern, dass er/sie solche Unterlagen, sei es im Original oder in Kopie, nicht mehr besitzt und auch nicht an Dritte weitergegeben hat.",9. Geheimhaltung,Vertragsstrafe/Wettbewerbsverbot,0,
